Row ID,Order ID,Order Date,Ship Date,Ship Mode,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
46,US-2014-147627,1/20/2014,1/26/2014,Standard Class,Consumer,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0,11.58
47,US-2014-147627,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.7901
48,US-2014-147627,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3,0,10.9698
49,US-2014-147627,1/20/2014,1/26/2014,Standard Class,Consumer,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0,224.2674
50,CA-2014-148614,1/20/2014,1/25/2014,Standard Class,Consumer,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0,9.2928
51,CA-2014-148614,1/20/2014,1/25/2014,Standard Class,Consumer,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0,5.79
52,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0,4.0542
53,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0,30.0234
54,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0,8.9535
55,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.716,4,0.1,93.5816
56,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0,15.9792
57,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0,12.7368
58,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.8609
59,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,Consumer,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0,13.365
60,US-2014-147774,1/20/2014,1/26/2014,Standard Class,Corporate,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,1,0.7,-51.5154
61,CA-2014-110422,1/21/2014,1/23/2014,Second Class,Consumer,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.248,3,0.2,4.1028
62,CA-2014-102645,1/23/2014,1/28/2014,Standard Class,Consumer,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,6,0,19.2384
63,CA-2014-146997,1/23/2014,1/27/2014,Standard Class,Consumer,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0,0
64,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0,30.7818
65,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0,0
66,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,0,9.3312
67,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,0,8.34
68,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13,0,0
69,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0,4.4712
70,US-2014-155502,1/26/2014,1/31/2014,Standard Class,Home Office,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,2,0,52.6344
71,CA-2014-167997,1/26/2014,1/29/2014,First Class,Corporate,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0,5.0196
72,CA-2014-167997,1/26/2014,1/29/2014,First Class,Corporate,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0,39.7488
73,US-2014-117163,1/27/2014,2/2/2014,Standard Class,Consumer,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,0,14.3075
74,US-2014-117163,1/27/2014,2/2/2014,Standard Class,Consumer,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,3,0.2,-16.65
75,US-2014-117163,1/27/2014,2/2/2014,Standard Class,Consumer,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0,12.0252
76,CA-2014-100328,1/28/2014,2/3/2014,Standard Class,Consumer,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.928,1,0.2,1.3257
77,CA-2014-134103,1/30/2014,2/4/2014,Standard Class,Consumer,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0,4.752
78,CA-2014-134103,1/30/2014,2/4/2014,Standard Class,Consumer,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0,6.8982
79,CA-2014-115161,1/31/2014,2/2/2014,First Class,Consumer,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4196
80,CA-2014-140795,2/1/2014,2/3/2014,First Class,Consumer,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0,206.316
81,CA-2014-139857,2/2/2014,2/6/2014,Standard Class,Home Office,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,5,0,5.8045
82,CA-2014-123400,2/2/2014,2/9/2014,Standard Class,Consumer,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.336,2,0.7,-12.224
83,CA-2014-123400,2/2/2014,2/9/2014,Standard Class,Consumer,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,0.2,13.572
84,CA-2014-111059,2/3/2014,2/6/2014,Second Class,Consumer,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.248
85,CA-2014-111059,2/3/2014,2/6/2014,Second Class,Consumer,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.272,3,0.2,4.3134
86,CA-2014-107181,2/4/2014,2/8/2014,Standard Class,Home Office,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,3,0.2,29.0136
87,CA-2014-107181,2/4/2014,2/8/2014,Standard Class,Home Office,OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,0,16.0928
88,CA-2014-104808,2/4/2014,2/8/2014,Second Class,Corporate,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.248,2,0.2,6.0368
89,CA-2014-131905,2/6/2014,2/9/2014,First Class,Corporate,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15,4,0,7.2
90,CA-2014-131905,2/6/2014,2/9/2014,First Class,Corporate,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61,1,0,42.0186
91,CA-2014-131905,2/6/2014,2/9/2014,First Class,Corporate,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95,5,0,42.0355
92,CA-2014-108182,2/6/2014,2/10/2014,Second Class,Consumer,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.952,2,0.8,-14.7708
93,CA-2014-107755,2/7/2014,2/12/2014,Standard Class,Corporate,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,0,49.6048
94,US-2014-169390,2/7/2014,2/10/2014,Second Class,Corporate,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,0,9.744
95,CA-2014-125759,2/8/2014,2/9/2014,First Class,Home Office,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,0,5.5328
96,CA-2014-127614,2/11/2014,2/15/2014,Standard Class,Consumer,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,0,103.158
97,CA-2014-127614,2/11/2014,2/15/2014,Standard Class,Consumer,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,0,75.3732
98,CA-2014-127614,2/11/2014,2/15/2014,Standard Class,Consumer,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
99,CA-2014-168368,2/11/2014,2/15/2014,Second Class,Consumer,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,0,15.2225
100,CA-2014-168368,2/11/2014,2/15/2014,Second Class,Consumer,OFF-LA-10004853,Office Supplies,Labels,Avery 483,14.94,3,0,6.8724
101,CA-2014-168368,2/11/2014,2/15/2014,Second Class,Consumer,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,0,4.4344
102,CA-2014-168368,2/11/2014,2/15/2014,Second Class,Consumer,FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,0,53.2704
103,CA-2014-168368,2/11/2014,2/15/2014,Second Class,Consumer,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,0,24.393
104,CA-2014-168368,2/11/2014,2/15/2014,Second Class,Consumer,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,0,2.5984
105,US-2014-110674,2/12/2014,2/18/2014,Standard Class,Consumer,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568,2,0.2,-24.294
106,CA-2014-107706,2/14/2014,2/19/2014,Second Class,Consumer,OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.176,3,0.2,6.066
107,CA-2014-121762,2/14/2014,2/18/2014,Standard Class,Corporate,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,0,86.3892
108,CA-2014-121762,2/14/2014,2/18/2014,Standard Class,Corporate,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,0,22.9488
109,CA-2014-121762,2/14/2014,2/18/2014,Standard Class,Corporate,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,0,4.7724
110,CA-2014-165568,2/15/2014,2/19/2014,Standard Class,Corporate,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,0.2,7.209
111,CA-2014-122567,2/16/2014,2/21/2014,Standard Class,Consumer,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,0.8,-1.728
112,CA-2014-122567,2/16/2014,2/21/2014,Standard Class,Consumer,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2,0.8,-13.93
113,CA-2014-154165,2/17/2014,2/24/2014,Standard Class,Consumer,OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,54.208,14,0.2,8.8088
114,US-2014-165589,2/18/2014,2/18/2014,Same Day,Consumer,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,0.6,-11.322
115,CA-2014-152905,2/18/2014,2/24/2014,Standard Class,Consumer,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,0.2,-2.5248
116,CA-2014-109491,2/20/2014,2/26/2014,Standard Class,Corporate,TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,0,22.4316
117,CA-2014-109491,2/20/2014,2/26/2014,Standard Class,Corporate,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,0,6.9088
118,CA-2014-164903,2/20/2014,2/24/2014,Standard Class,Home Office,OFF-PA-10003363,Office Supplies,Paper,Xerox 204,12.96,2,0,6.2208
119,CA-2014-165540,2/21/2014,2/25/2014,Standard Class,Consumer,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,0.8,-13.7175
120,CA-2014-133354,2/22/2014,2/24/2014,First Class,Consumer,OFF-PA-10001800,Office Supplies,Paper,Xerox 220,19.44,3,0,9.3312
121,CA-2014-103744,2/23/2014,2/27/2014,Standard Class,Home Office,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels,6.936,3,0.2,2.3409
122,CA-2014-103744,2/23/2014,2/27/2014,Standard Class,Home Office,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,4.428,3,0.8,-6.8634
123,US-2014-137680,2/24/2014,3/2/2014,Standard Class,Consumer,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.896,4,0.2,11.1024
124,US-2014-137680,2/24/2014,3/2/2014,Standard Class,Consumer,OFF-PA-10000069,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.776,3,0.2,7.6869
125,CA-2014-156545,2/27/2014,3/3/2014,First Class,Consumer,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456,4,0.2,3.4048
126,CA-2014-104269,3/1/2014,3/6/2014,Second Class,Consumer,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
127,US-2014-143707,3/1/2014,3/5/2014,Standard Class,Home Office,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0,1.6038
128,CA-2014-113880,3/1/2014,3/5/2014,Standard Class,Home Office,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.116,6,0.3,-172.1172
129,CA-2014-113880,3/1/2014,3/5/2014,Standard Class,Home Office,OFF-PA-10003036,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,3,0.2,5.6784
130,CA-2014-131009,3/1/2014,3/5/2014,Standard Class,Consumer,OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,0.2,-3.5325
131,CA-2014-131009,3/1/2014,3/5/2014,Standard Class,Consumer,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.3,0
132,CA-2014-131009,3/1/2014,3/5/2014,Standard Class,Consumer,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,6,0.6,-34.9536
133,CA-2014-131009,3/1/2014,3/5/2014,Standard Class,Consumer,OFF-ST-10001469,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.552,3,0.2,-22.6716
134,CA-2014-168312,3/1/2014,3/7/2014,Standard Class,Consumer,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.352,3,0.2,8.5845
135,CA-2014-168312,3/1/2014,3/7/2014,Standard Class,Consumer,FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.509,3,0.3,-43.0296
136,CA-2014-107524,3/2/2014,3/8/2014,Standard Class,Home Office,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.3392
137,CA-2014-107524,3/2/2014,3/8/2014,Standard Class,Home Office,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.4,5,0,17.472
138,CA-2014-111157,3/2/2014,3/6/2014,Standard Class,Corporate,OFF-PA-10000327,Office Supplies,Paper,Xerox 1971,3.424,1,0.2,1.07
139,CA-2014-111157,3/2/2014,3/6/2014,Standard Class,Corporate,TEC-AC-10004353,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,0.2,32.13
140,CA-2014-155852,3/3/2014,3/7/2014,Second Class,Consumer,OFF-AR-10003560,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.456,4,0.2,3.4048
141,CA-2014-127964,3/3/2014,3/8/2014,Standard Class,Home Office,TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger,9.99,1,0,4.5954
142,CA-2014-127964,3/3/2014,3/8/2014,Standard Class,Home Office,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,125.76,3,0.2,40.872
143,CA-2014-127964,3/3/2014,3/8/2014,Standard Class,Home Office,OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.32,5,0.2,9.1785
144,US-2014-127978,3/3/2014,3/8/2014,Standard Class,Corporate,OFF-LA-10000305,Office Supplies,Labels,Avery 495,15.12,3,0.2,4.914
145,US-2014-127978,3/3/2014,3/8/2014,Standard Class,Corporate,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45,5,0.5,-199.617
146,US-2014-127978,3/3/2014,3/8/2014,Standard Class,Corporate,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,44.672,8,0.2,-10.0512
147,CA-2014-130421,3/3/2014,3/7/2014,Standard Class,Consumer,OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.772,3,0.8,-459.6072
148,CA-2014-105648,3/3/2014,3/7/2014,Standard Class,Consumer,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.352,3,0.2,-23.4882
149,CA-2014-116239,3/4/2014,3/4/2014,Same Day,Consumer,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,5,0,17.745
150,CA-2014-117016,3/4/2014,3/9/2014,Standard Class,Consumer,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",15.552,3,0.2,2.3328
